zh,pinyin
的,de
一,yī
是,shì
不,bù
了,le
在,zài
人,rén
有,yǒu
我,wǒ
他,tā
这,zhè
个,gè
们,men
中,zhōng
来,lái
上,shàng
大,dà
为,wèi
和,hé
国,guó
地,dì
到,dào
以,yǐ
说,shuō
时,shí
要,yào
就,jiù
出,chū
会,huì
可,kě
也,yě
你,nǐ
对,duì
生,shēng
能,néng
而,ér
子,zi
那,nà
得,dé
于,yú
着,zhe
下,xià
自,zì
之,zhī
年,nián
过,guò
发,fā
后,hòu
作,zuò
里,lǐ
用,yòng
道,dào
行,xíng
所,suǒ
然,rán
家,jiā
种,zhǒng
事,shì
成,chéng
方,fāng
多,duō
经,jīng
么,me
去,qù
法,fǎ
学,xué
如,rú
都,dōu
同,tóng
现,xiàn
当,dāng
没,méi
动,dòng
面,miàn
起,qǐ
看,kàn
定,dìng
天,tiān
分,fēn
还,hái
进,jìn
好,hǎo
小,xiǎo
部,bù
其,qí
些,xiē
主,zhǔ
样,yàng
理,lǐ
心,xīn
她,tā
本,běn
前,qián
开,kāi
但,dàn
因,yīn
只,zhǐ
从,cóng
想,xiǎng
实,shí
日,rì
军,jūn
者,zhě
意,yì
无,wú
力,lì
它,tā
与,yǔ
长,zhǎng
把,bǎ
机,jī
十,shí
民,mín
第,dì
公,gōng
此,cǐ
已,yǐ
工,gōng
使,shǐ
情,qíng
明,míng
性,xìng
知,zhī
全,quán
三,sān
又,yòu
关,guān
点,diǎn
正,zhèng
业,yè
外,wài
将,jiāng
两,liǎng
高,gāo
间,jiān
由,yóu
问,wèn
很,hěn
最,zuì
重,zhòng
并,bìng
物,wù
手,shǒu
应,yīng
战,zhàn
向,xiàng
头,tóu
文,wén
体,tǐ
政,zhèng
美,měi
相,xiāng
见,jiàn
被,bèi
利,lì
什,shén
二,èr
等,děng
产,chǎn
或,huò
新,xīn
己,jǐ
制,zhì
身,shēn
果,guǒ
加,jiā
西,xī
月,yuè
话,huà
合,hé
回,huí
特,tè
代,dài
内,nèi
信,xìn
表,biǎo
化,huà
老,lǎo
给,gěi
世,shì
位,wèi
次,cì
度,dù
门,mén
任,rèn
常,cháng
先,xiān
海,hǎi
通,tōng
教,jiào
儿,ér
原,yuán
东,dōng
声,shēng
提,tí
立,lì
及,jí
比,bǐ
员,yuán
解,jiě
水,shuǐ
名,míng
真,zhēn
论,lùn
处,chù
走,zǒu
义,yì
各,gè
入,rù
几,jǐ
口,kǒu
认,rèn
条,tiáo
平,píng
系,xì
气,qì
题,tí
活,huó
尔,ěr
更,gèng
别,bié
打,dǎ
女,nǚ
变,biàn
四,sì
神,shén
总,zǒng
何,hé
电,diàn
数,shù
安,ān
少,shǎo
报,bào
才,cái
结,jié
反,fǎn
受,shòu
目,mù
太,tài
量,liàng
再,zài
感,gǎn
建,jiàn
务,wù
做,zuò
接,jiē
必,bì
场,chǎng
件,jiàn
计,jì
管,guǎn
期,qī
市,shì
直,zhí
德,dé
资,zī
命,mìng
山,shān
金,jīn
指,zhǐ
克,kè
许,xǔ
统,tǒng
区,qū
保,bǎo
至,zhì
队,duì
形,xíng
社,shè
便,biàn
空,kōng
决,jué
治,zhì
展,zhǎn
马,mǎ
科,kē
司,sī
五,wǔ
基,jī
眼,yǎn
书,shū
非,fēi
则,zé
听,tīng
白,bái
却,què
界,jiè
达,dá
光,guāng
放,fàng
强,qiáng
即,jí
像,xiàng
难,nán
且,qiě
权,quán
思,sī
王,wáng
象,xiàng
完,wán
设,shè
式,shì
色,sè
路,lù
记,jì
南,nán
品,pǐn
住,zhù
告,gào
类,lèi
求,qiú
据,jù
程,chéng
北,běi
边,biān
死,sǐ
张,zhāng
该,gāi
交,jiāo
规,guī
万,wàn
取,qǔ
拉,lā
格,gé
望,wàng
觉,jué
术,shù
领,lǐng
共,gòng
确,què
传,chuán
师,shī
观,guān
清,qīng
今,jīn
切,qiè
院,yuàn
让,ràng
识,shí
候,hòu
带,dài
导,dǎo
争,zhēng
运,yùn
笑,xiào
飞,fēi
风,fēng
步,bù
改,gǎi
收,shōu
