simplified,radical,level,frequency,pos,pinyin,meanings,count
阿拉伯语,阝,7,27202,nz,Ā lā bó yǔ,Arabic (language),1
阿姨,阝,3,4355,n,ā yí,"maternal aunt,step-mother,childcare worker,nursemaid",1
呵,口,7,5230,y,ā,variant of 啊,2
呵护,口,7,13381,v,hē hù,"to bless,to cherish,to take good care of,to conserve",1
啊,口,2,47,y,ā,"interjection of surprise,Ah!,Oh!",5
哎,口,5,2092,e,āi,"hey!,(interjection used to attract attention or to express surprise or disapprobation)",1
哎呀,口,5,4772,e,āi yā,"interjection of wonder, shock or admiration",1
哎哟,口,6,7054,e,āi yō,"hey,ow,ouch,interjection of pain or surprise",1
哀求,口,7,19304,v,āi qiú,"to entreat,to implore,to plead",1
唉,口,5,2512,e,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!),to sigh",2
挨,扌,7,5720,v,āi,"in order; in sequence,close to; adjacent to",2
挨打,扌,6,15204,v,ái dǎ,"to take a beating,to get thrashed,to come under attack",1
挨家挨户,扌,7,26236,l,āi jiā āi hù,to go from house to house,1
挨着,扌,6,11185,v,āi zhe,near,1
癌,疒,7,6175,n,ái,"cancer,carcinoma,also pr. [yán]",1
癌症,疒,7,4759,n,ái zhèng,cancer,1
矮,矢,3,3952,a,ǎi,"low,short (in length)",1
矮小,矢,4,21508,a,ǎi xiǎo,"short and small,low and small,undersized",1
艾滋病,艹,7,6270,n,ài zī bìng,AIDS (loanword),1
爱,爫,1,130,v,ài,"to love; to be fond of; to like,affection,to be inclined (to do sth); to tend to (happen)",1
爱不释手,爫,7,26355,v,ài bù shì shǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible,1
爱戴,爫,7,15369,vn,ài dài,"to love and respect,love and respect",1
爱国,爫,4,7528,a,ài guó,"to love one's country,patriotic",1
爱好,爫,2,4902,n,ài hào,"to like; to be fond of; to take pleasure in; to be keen on,interest; hobby",1
爱护,爫,5,10522,v,ài hù,"to cherish,to treasure,to take care of,to love and protect",1
爱理不理,爫,7,69479,v,ài lǐ bù lǐ,(idiom) standoffish; indifferent,1
爱面子,爫,7,44438,a,ài miàn zi,to like to look good in the eyes of others; sensitive about how one is regarded by others; proud,1
爱情,爫,4,1164,n,ài qíng,romance; love (romantic),1
爱人,爫,3,4365,n,ài ren,"spouse (PRC),lover (non-PRC)",1
爱惜,爫,7,20535,v,ài xī,"to cherish,to treasure,to use sparingly",1
爱心,爫,4,5809,n,ài xīn,"compassion,kindness,care for others,love,charity (bazaar, golf day etc),heart (the symbol ♥)",1
碍事,石,7,34045,a,ài shì,"to be in the way; to be a hindrance,(usu. in the negative) to be of consequence; to matter",1
暧昧,日,7,11523,a,ài mèi,"vague,ambiguous,equivocal,dubious",1
安,宀,5,1506,v,Ān,surname An,2
安定,宀,7,7377,a,Ān dìng,"Anting township in Tainan county 台南县, Taiwan",2
安抚,宀,7,12099,v,ān fǔ,"to placate,to pacify,to appease",1
安检,宀,4,13665,n,ān jiǎn,"security check (abbr. for 安全检查),to do a security check",1
安静,宀,3,2501,a,ān jìng,"quiet,peaceful,calm",1
安居乐业,宀,6,29270,v,ān jū lè yè,to live in peace and work happily (idiom),1
安眠药,宀,7,16000,n,ān mián yào,sleeping pill,1
安宁,宀,7,9417,an,Ān níng,"Anning District of Lanzhou City 兰州市, Gansu,Anning City, to the west of Kunming 明, Yunnan",2
安排,宀,4,900,v,ān pái,"to arrange,to plan,to set up,arrangements,plans",1
安全,宀,3,364,an,ān quán,"safe; secure,safety; security",1
安慰,宀,5,3563,v,ān wèi,"to comfort,to console",1
安稳,宀,7,12368,a,ān wěn,steady; stable; sedate; calm; (of sleep) sound; (of a transition) smooth,1
安详,宀,7,16971,a,ān xiáng,serene,1
安心,宀,7,5992,a,ān xīn,"at ease,to feel relieved,to set one's mind at rest,to keep one's mind on sth",1
安逸,宀,7,14622,a,ān yì,"easy and comfortable,easy",1
安置,宀,7,5845,v,ān zhì,"to find a place for,to help settle down,to arrange for,to get into bed,placement",1
安装,宀,5,3653,v,ān zhuāng,"to install,to erect,to fix,to mount,installation",1
岸,山,6,6867,n,àn,variant of 岸,2
岸上,山,5,18516,s,àn shàng,"ashore,on the riverbank",1
按,扌,4,678,p,àn,"to press,to push,to leave aside or shelve,to control,to restrain,to keep one's hand on,to check or refer to",1
按键,扌,7,13672,n,àn jiàn,"button or key (on a device),keystroke,to press a button",1
按理说,扌,7,25769,v,àn lǐ shuō,it is reasonable to say that...,1
按摩,扌,6,3990,vn,àn mó,"massage,to massage",1
按时,扌,4,7233,d,àn shí,"on time,before deadline,on schedule",1
按说,扌,7,32917,d,àn shuō,in the ordinary course of events; ordinarily; normally,1
按照,扌,4,1378,p,àn zhào,"according to,in accordance with,in the light of,on the basis of",1
案件,木,7,1617,n,àn jiàn,"case,instance",1
案例,木,6,6195,n,àn lì,"case (of fraud, hepatitis, international cooperation etc); instance; example",1
暗,日,5,2594,a,àn,variant of 暗,3
暗地里,日,7,20436,d,àn dì li,secretly; inwardly; on the sly,1
暗杀,日,7,9964,v,àn shā,to assassinate,1
暗示,日,6,4917,v,àn shì,"to hint; to suggest,hint; suggestion",1
暗中,日,7,9222,d,àn zhōng,"in the dark,in secret,on the sly,surreptitiously",1
昂贵,日,6,7743,a,áng guì,"expensive,costly",1
凹,凵,7,10239,a,āo,"depressed,sunken,indented,concave,female (connector etc)",2
凹凸,凵,6,38312,n,āo tū,"concave or convex,bumps and holes,uneven (surface),rugged",1
熬,灬,7,4418,v,āo,"to boil,to simmer",2
熬夜,灬,5,9364,v,áo yè,to stay up late or all night,1
傲,亻,7,7205,g,ào,"proud,arrogant,to despise,unyielding,to defy",1
傲慢,亻,7,11766,a,ào màn,"arrogant,haughty",1
奥秘,大,7,18113,n,ào mì,"secret,mystery",1
奥运会,大,7,5746,n,Aò yùn huì,"abbr. for 奥林匹克运动会,Olympic Games,the Olympics",1
八,八,1,1362,m,bā,eight; 8,1
八卦,八,7,6491,n,bā guà,"the eight divinatory trigrams of the Book of Changes 易经,gossip,gossipy",1
扒,扌,7,8554,v,bā,"to peel,to skin,to tear,to pull down,to cling to (sth on which one is climbing),to dig",2
芭蕾,艹,7,12522,n,bā lěi,ballet (loanword),1
疤,疒,7,9775,n,bā,"scar,scab",1
拔,扌,7,3803,v,bá,"to pull up,to pull out,to draw out by suction,to select,to pick,to stand out (above level),to surpass,to seize",1
拔苗助长,扌,6,59082,,bá miáo zhù zhǎng,to spoil things through excessive enthusiasm (idiom),1
把,扌,3,50,p,bǎ,"to hold; to grasp,to hold a baby in position to help it urinate or defecate,handlebar,classifier: handful, bundle",2
把柄,扌,7,20374,n,bǎ bǐng,"handle,(fig.) information that can be used against sb",1
把关,扌,7,24750,v,bǎ guān,"to guard a pass,to check on sth",1
把手,扌,7,8291,n,bǎ shǒu,to shake hands,2
把握,扌,5,3068,v,bǎ wò,"to grasp (also fig.),to seize,to hold,assurance,certainty,sure (of the outcome)",1
把戏,扌,6,15086,n,bǎ xì,"acrobatics; jugglery,trick; ploy",1
靶子,革,7,21978,n,bǎ zi,target,1
坝,土,7,18700,n,bà,"dam,dike; embankment",1
爸,父,1,1142,n,bà,"father,dad,pa,papa",1
爸爸,父,1,908,n,bà ba,(coll.) father; dad,1
霸道,雨,7,15377,a,bà dào,"the Way of the Hegemon,abbr. for 霸王之道,despotic rule,rule by might,evil as opposed to the Way of the King 王道,overbearing",1
霸占,雨,7,17196,v,bà zhàn,"to occupy by force,to seize,to dominate",1
巴不得,巳,7,22440,v,bā bu de,"(coll.) to be eager for,to long for,to look forward to",1
巴结,巳,7,27264,v,bā jie,"to fawn on,to curry favor with,to make up to",1
巴士,巳,4,8312,n,bā shì,"bus (loanword),motor coach",1
吧,口,1,58,y,bā,"bar (loanword) (serving drinks, or providing Internet access etc),to puff (on a pipe etc),(onom.) bang,abbr. for 贴吧",3
罢工,罒,7,8001,vn,bà gōng,"a strike,to go on strike",1
罢了,罒,7,3807,y,bà le,"a modal particle indicating (that's all, only, nothing much)",2
罢免,罒,7,28683,v,bà miǎn,"to remove sb from their post,to dismiss",1
罢休,罒,7,17351,v,bà xiū,"to give up,to abandon (a goal etc),to let sth go,forget it,let the matter drop",1
掰,手,7,11771,v,bāi,"to break off or break open sth with one's hands,(fig.) to break off (a relationship)",1
白,白,5,930,a,Bái,surname Bai,2
白白,白,6,10131,d,bái bái,"in vain,to no purpose,for nothing,white",1
白菜,白,3,16930,n,bái cài,"Chinese cabbage,pak choi",1
白酒,白,4,13749,n,bái jiǔ,"baijiu, a spirit usually distilled from sorghum,(Tw) white wine (abbr. for 酒)",1
白领,白,6,11481,b,bái lǐng,"white-collar,white-collar worker",1
白色,白,2,2643,n,bái sè,"white,fig. reactionary,anti-communist",1
白天,白,1,3645,t,bái tiān,"daytime,during the day,day",1
百,白,1,2455,m,Bǎi,surname Bai,2
百分比,白,7,21781,n,bǎi fēn bǐ,percentage,1
百分点,白,6,10677,n,bǎi fēn diǎn,percentage point,1
百合,白,7,10056,n,bǎi hé,lily,1
百货,白,6,11134,n,bǎi huò,general merchandise,1
百科全书,白,7,22806,n,bǎi kē quán shū,encyclopedia,1
柏树,木,7,38128,n,bǎi shù,"cypress tree,Taiwan pr. [bó shù]",1
摆,扌,6,1854,v,bǎi,"to arrange,to exhibit,to move to and fro,a pendulum",1
摆动,扌,7,16046,v,bǎi dòng,"to sway,to swing,to move back and forth,to oscillate",1
摆放,扌,6,10963,v,bǎi fàng,to set up; to arrange; to lay out,1
摆平,扌,7,16373,v,bǎi píng,"to be fair,to be impartial,to settle (a matter etc)",1
摆设,扌,7,14321,n,bǎi shè,"to set out,to display,to furnish (a room or house)",2
摆脱,扌,6,3424,v,bǎi tuō,"to break away from,to cast off (old ideas etc),to get rid of,to break away (from),to break out (of)",1
败,贝,6,4262,v,bài,"to defeat,to damage,to lose (to an opponent),to fail,to wither",1
败坏,贝,7,19110,v,bài huài,"to ruin,to corrupt,to undermine",1
拜访,手,6,6619,v,bài fǎng,to pay a visit; to call on,1
拜会,手,7,30764,v,bài huì,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on,1
